# 装备编号
# 帽子
60001 发箍
60002 骁鹰笠
60003 青丝兜
60004 藤甲笠
60005 太岳兜
60006 血煞兜
60007 赤笠
60008 硬竹笠
60009 青云笠
60010 通宝兜
60011 通宝兜
# 传说帽子
60900 混元
60901 紫气东来
60902 慧意
60903 真武
60904 绝世神兜
# 灵仆帽子
60800 幻魔冠
# 衣服
61001 青蓑衣
61002 骁鹰服
61003 青丝服
61004 藤甲衣
61005 太岳服
61006 血煞衣
61007 赤蓑衣
61008 行者服
61009 玄甲衣
61010 青云服
61011 通宝衣
61012 通宝衣
# 传说衣服
61900 软猬
61901 赤鳄
61902 翔云
61903 天蚕纱衣
61904 万古金蛛
# 灵仆衣服
61800 幻魔衣
# 裤子
62001 青蓑裤
62002 骁鹰裤
62003 青丝裤
62004 藤甲裤
62005 太岳裤
62006 血煞裤
62007 赤蓑裤
62008 行者裤
62009 玄甲裤
62010 青云裤
62011 通宝裤
62012 通宝裤
# 传说裤子
62900 神行
62901 灵猫
62902 断腿罗刹
62903 极意缠腿
# 灵仆裤子
62800 幻魔裤
# 剑类兵器
63002 阔剑
63004 华山剑
63007 清风剑
# 刀类兵器
63003 铁刀
63005 血煞刀
63006 影月刀
# 棍类兵器
63001 桃木棍
63108 齐眉棍
63009 精铁棍
63010 杀威棍
# 仗类兵器
63011 藤木杖
63012 悬翠杖
63013 玉竹杖
# 锤类兵器
63014 破骨锤
63015 碎颅锤
63016 狼牙锤
# 传说兵器
63900 降龙
63901 八卦刀
63902 里合剑
63903 斩炎
63904 斩雪
63905 太阿
63906 紫竹
# 暗器
64001 桃木镖
64002 铜钱镖
64003 铁镖
64004 铁飞叉
64005 铁掷箭
64006 铁枣刺
64007 梅花针
# 传说暗器
64900 玉蜂
64901 惊云
64902 惊雷
64903 惊风
64904 欢心箭
64905 大悲莲
